nid,title,,,,projectcity,projectstate,office,category,,projectdescrip
92,Midtown Plaza,,,,San Jose,California,Sacramento,Multi-Family Housing,,
93,Niello Volkswagen,,,,Sacramento,California,Sacramento,Auto Dealerships,,
94,Niello Audi,,,,Sacramento,California,Sacramento,Auto Dealerships,,
95,Sacramento Traffic and Small Claims Court,,,,Sacramento,California,Sacramento,Office,,
96,Rocklin Land Rover,,,,Rocklin,California,Sacramento,Auto Dealerships,,
97,Niello Porsche,,,,Rocklin,California,Sacramento,Auto Dealerships,,
98,B.T. Collins Juvenile Justice Center,,,,Sacramento,California,Sacramento,Office,,
100,Niello BMW,,,,Elk Grove,California,Sacramento,Auto Dealerships,,
101,Future Ford / Nissan,,,,Roseville,California,Sacramento,Auto Dealerships,,
102,Chilled Water Replacement  Porterville Developmental Center,,,,Porterville,California,Sacramento,High-Tech and Industrial,,
103,Raley Field,,,,West Sacramento,California,Sacramento,Sports and Recreation,,
105,Chilled Water System Upgrade at Sonoma Developmental Center,,,,Sonoma,California,Sacramento,High-Tech and Industrial,,
106,Capitol Building - South Portico Repairs,,,,Sacramento,California,Sacramento,Historical Renovations,,
107,Niello Mini,,,,Sacramento,California,Sacramento,Auto Dealerships,,
108,Woodland Opera House,,,,Woodland,California,Sacramento,Theater and Entertainment,,
109,Museum of Railroad History Exhibits-Phase II,,,,Sacramento,California,Sacramento,Theater and Entertainment,,
110,Siemens-Duewag Manufacturing Facility,,,,Sacramento,California,Sacramento,High-Tech and Industrial,,
111,University Village at Albany - Step 2,,,,Albany,California,Sacramento,Multi-Family Housing,,
112,Eastside Subaru,,,,Kirkland,Washington,Seattle,Auto Dealerships,,
113,Benson High School Facility Improvement,,,,Portland,Oregon,Portland,Historical Renovations,,
114,Christie Hall at University of Portland,,,,Portland,Oregon,Portland,Education and Libraries,,
115,Merchant Hotel Renovation,,,,Portland,Oregon,Portland,Historical Renovations,,
116,ISITE Design at Fleischner Building,,,,Portland,Oregon,Portland,Office,,
117,GreenWorks Design at Captain Couch Building,,,,Portland,Oregon,Portland,Historical Renovations,,
118,Sound Ford Renovation,,,,Renton,Washington,Seattle,Auto Dealerships,,
119,Nissan of the Eastside,,,,Bellevue,Washington,Seattle,Auto Dealerships,,
120,First AME Child and Family Center,,,,Seattle,Washington,Seattle,Education and Libraries,,
121,Boston's Pizza,,,,Multiple Locations,,Seattle,Food Service,,
122,BigFoot Java,,,,Six Locations,Washington,Seattle,Food Service,,
123,Top Food and Drug,,,,Multiple Locations,,Seattle,Grocery,,
124,USF Reddaway Freight Transfer Station,,,,Kent,Washington,Seattle,High-Tech and Industrial,,
125,DirecTV Uplink Stations,,,,Multiple Locations,,Seattle,High-Tech and Industrial,,
126,Extended Stay America,,,,Bellevue,Washington,Seattle,Hospitality,,
127,Comfort Suites,,,,Seattle,Washington,Seattle,Hospitality,,
128,RadiantCare Radiation Oncology Facility,,,,Aberdeen,Washington,Seattle,Medical and Healthcare,,
129,Madrona Medical Center,,,,Bellingham,Washington,Seattle,Medical and Healthcare,,
130,Creekside Village,,,,Mill Creek,Washington,Seattle,Mixed-Use,,
131,Eunia Plaza,,,,Lynnwood,Washington,Seattle,Mixed-Use,,
132,Redmond Town Square,,,,Redmond,Washington,Seattle,Office,,
133,TriMark Building,,,,Pacific,Washington,Seattle,Office,,
134,The Landing,,,,Renton,Washington,Seattle,Parking,,
135,Loew's Theatres at Alderwood Mall,,,,Lynnwood,Washington,Seattle,Parking,,
136,Advent Lutheran Church,,,,Mill Creek,Washington,Seattle,Religious Facilities,,
137,Faith Lutheran Church,,,,Seattle,Washington,Seattle,Religious Facilities,,
138,The Park at Forbes Creek,,,,Kirkland,Washington,Seattle,Repair and Restoration,,
139,One Carillon Point,,,,Kirkland,Washington,Seattle,Repair and Restoration,,
140,Seattle Premium Outlets,,,,Marysville,Washington,Seattle,Retail,,
141,The Landing,,,,Renton,Washington,Seattle,Retail,,
142,Preston Public Park,,,,Preston,Washington,Seattle,Sports and Recreation,,
143,Starfire Sports Center,,,,Tukwila,Washington,Seattle,Sports and Recreation,,
145,Huish Family Fun Center,,,,Tukwila,Washington,Seattle,Theater and Entertainment,,
146,Loew's Theatres at Alderwood Mall,,,,Lynnwood,Washington,Seattle,Theater and Entertainment,,
147,Knight Library Additions at University of Oregon,,,,Eugene,Oregon,Portland,Education and Libraries,,
148,MERTS  Inc. / Clatsop Community College,,,,Astoria,Oregon,Portland,Education and Libraries,,
149,Pat Anderson Educational Center,,,,Sacramento,California,Sacramento,Education and Libraries,,
150,Alzheimer's Aid Society,,,,Sacramento,California,Sacramento,Charitable,,
151,Jake's Grill at Governor Hotel,,,,Portland,Oregon,Portland,Food Service,,
152,Romano's Macaroni Grill,,,,Multiple Locations,,Portland,Food Service,,
153,The Corvallis Clinic at North Albany Village,,,,Albany,Oregon,Portland,Medical and Healthcare,,
154,Saint Andrew Lutheran Church,,,,Vancouver,Washington,Portland,Religious Facilities,,
155,The Verandas at Hazel Grove and The Colonnade,,,,Hillsboro,Oregon,Portland,Repair and Restoration,,
156,Aspect Electronics,,,,Auburn,California,Sacramento,High-Tech and Industrial,,
157,Hilton Garden Inn,,,,Multiple Locations,,Sacramento,Hospitality,,
